breeds.primary,id.1,organization_id,age,gender,size,coat,tags,name_x,description,status_changed_at,published_at,distance,colors.primary,attributes.spayed_neutered,attributes.house_trained,attributes.special_needs,attributes.shots_current,contact.address.city,contact.address.postcode,animal_id,organization_id.1,name_y
adopted,American Bully,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4
adopted,American Staffordshire Terrier,55,55,55,55,55,39,55,55,51,55,55,55,47,55,55,55,55,55,55,55,55,55
adopted,Anatolian Shepherd,30,30,30,30,30,28,30,30,30,30,30,30,25,30,30,30,30,30,30,30,30,30
adopted,Australian Cattle Dog / Blue Heeler,234,234,234,234,234,206,234,234,205,234,234,234,205,234,234,234,234,234,234,234,234,234
adopted,Australian Kelpie,9,9,9,9,9,9,9,9,7,9,9,9,8,9,9,9,9,9,9,9,9,9
adopted,Australian Shepherd,85,85,85,85,85,72,85,85,82,85,85,85,74,85,85,85,85,85,85,85,85,85
adopted,Australian Terrier,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
adopted,Basenji,20,20,20,20,20,16,20,20,20,20,20,20,13,20,20,20,20,20,20,20,20,20
adopted,Basset Hound,36,36,36,36,36,19,36,36,33,36,36,36,19,36,36,36,36,36,36,36,36,36
adopted,Beagle,48,48,48,48,48,40,48,48,39,48,48,48,39,48,48,48,48,48,48,48,48,48
adopted,Bearded Collie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Belgian Shepherd / Malinois,20,20,20,20,20,13,20,20,19,20,20,20,13,20,20,20,20,20,20,20,20,20
adopted,Belgian Shepherd / Sheepdog,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
adopted,Bichon Frise,5,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5
adopted,Black Labrador Retriever,14,14,14,14,14,12,14,14,11,14,14,14,13,14,14,14,14,14,14,14,14,14
adopted,Black Mouth Cur,45,45,45,45,45,43,45,45,34,45,45,45,32,45,45,45,45,45,45,45,45,45
adopted,Bloodhound,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
adopted,Blue Lacy,19,19,19,19,19,18,19,19,9,19,19,19,14,19,19,19,19,19,19,19,19,19
adopted,Bluetick Coonhound,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Border Collie,125,125,125,125,125,112,125,125,118,125,125,125,108,125,125,125,125,125,125,125,125,125
adopted,Border Terrier,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11
adopted,Boston Terrier,28,28,28,28,28,20,28,28,26,28,28,28,20,28,28,28,28,28,28,28,28,28
adopted,Boxer,156,156,156,156,156,134,156,156,145,156,156,156,130,156,156,156,156,156,156,156,156,156
adopted,Boykin Spaniel,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Brittany Spaniel,6,6,6,6,6,5,6,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6
adopted,Brussels Griffon,5,5,5,5,5,2,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5
adopted,Bull Terrier,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
adopted,Bullmastiff,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
adopted,Cairn Terrier,21,21,21,21,21,20,21,21,21,21,21,21,19,21,21,21,21,21,21,21,21,21
adopted,Cane Corso,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Cardigan Welsh Corgi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Carolina Dog,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
